args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Args { n: 128, k: 58, L: 512, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 942848, runtime_setup_seconds: 0.126855223, runtime_file_generation_seconds: 0.003132117, runtime_all_column_commitments_seconds: 3.57100623, runtime_per_column_commitment_seconds: 0.06156907293103448, runtime_all_row_encodings_seconds: 0.084293661, runtime_per_row_encoding_seconds: 0.000164636056640625, runtime_all_chunk_verifications_seconds: 10.77641119, runtime_per_chunk_verification_seconds: 0.084190712421875, runtime_all_downloaded_chunk_verifications_seconds: 3.847731554, runtime_per_downloaded_chunk_verification_seconds: 0.06634019920689656, runtime_all_row_decodings_seconds: 0.135812786, runtime_per_row_decoding_seconds: 0.00026525934765625, runtime_prepare_decoding_seconds: 0.086157986, num_column_commitments: 58, num_row_encodings: 512, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 58, num_row_decodings: 512, size_file_uncoded_bytes: 950272, size_column_commitments_bytes: 6032, size_file_coded_bytes: 2097152, scenario_disperse_runtime_client_seconds: 3.655299891, scenario_disperse_runtime_node_seconds: 0.084190712421875, scenario_disperse_communication_bytes: 2869248, scenario_disperse_storage_bytes: 2869248, scenario_retrieve_runtime_client_seconds: 4.069702326, scenario_sampling_num_openings: 58, scenario_sampling_runtime_prover_seconds: 0.060748291, scenario_sampling_runtime_verifier_seconds: 0.010591571931034487, scenario_sampling_runtime_proof_size_bytes: 6184 }
128 58 512 1 bls12-381  942848  0.126855 0.003132  3.571006 0.061569 0.084294 0.000165 10.776411 0.084191  3.847732 0.066340 0.135813 0.000265 0.086158  58 512 128 58 512  950272 6032 2097152  3.655300 0.084191 2869248 2869248  4.069702  58 0.060748 0.010592 6184
# Args { n: 256, k: 115, L: 512, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 1869440, runtime_setup_seconds: 0.124791013, runtime_file_generation_seconds: 0.005294657, runtime_all_column_commitments_seconds: 7.317940689, runtime_per_column_commitment_seconds: 0.06363426686086956, runtime_all_row_encodings_seconds: 0.134187272, runtime_per_row_encoding_seconds: 0.000262084515625, runtime_all_chunk_verifications_seconds: 28.587123124, runtime_per_chunk_verification_seconds: 0.111668449703125, runtime_all_downloaded_chunk_verifications_seconds: 7.764820577, runtime_per_downloaded_chunk_verification_seconds: 0.06752017893043478, runtime_all_row_decodings_seconds: 0.561059995, runtime_per_row_decoding_seconds: 0.001095820302734375, runtime_prepare_decoding_seconds: 0.432764906, num_column_commitments: 115, num_row_encodings: 512, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 115, num_row_decodings: 512, size_file_uncoded_bytes: 1884160, size_column_commitments_bytes: 11960, size_file_coded_bytes: 4194304, scenario_disperse_runtime_client_seconds: 7.452127961, scenario_disperse_runtime_node_seconds: 0.111668449703125, scenario_disperse_communication_bytes: 7256064, scenario_disperse_storage_bytes: 7256064, scenario_retrieve_runtime_client_seconds: 8.758645478, scenario_sampling_num_openings: 115, scenario_sampling_runtime_prover_seconds: 0.06057222391304348, scenario_sampling_runtime_verifier_seconds: 0.010625478547826089, scenario_sampling_runtime_proof_size_bytes: 12112 }
256 115 512 1 bls12-381  1869440  0.124791 0.005295  7.317941 0.063634 0.134187 0.000262 28.587123 0.111668  7.764821 0.067520 0.561060 0.001096 0.432765  115 512 256 115 512  1884160 11960 4194304  7.452128 0.111668 7256064 7256064  8.758645  115 0.060572 0.010625 12112
# Args { n: 512, k: 230, L: 512, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 3738880, runtime_setup_seconds: 0.124224534, runtime_file_generation_seconds: 0.012430313, runtime_all_column_commitments_seconds: 12.846059915, runtime_per_column_commitment_seconds: 0.055852434413043474, runtime_all_row_encodings_seconds: 0.278745476, runtime_per_row_encoding_seconds: 0.0005444247578125, runtime_all_chunk_verifications_seconds: 84.952448473, runtime_per_chunk_verification_seconds: 0.16592275092382813, runtime_all_downloaded_chunk_verifications_seconds: 13.839053119999999, runtime_per_downloaded_chunk_verification_seconds: 0.06016979617391304, runtime_all_row_decodings_seconds: 2.364139136, runtime_per_row_decoding_seconds: 0.00461745925, runtime_prepare_decoding_seconds: 2.570656536, num_column_commitments: 230, num_row_encodings: 512, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 230, num_row_decodings: 512, size_file_uncoded_bytes: 3768320, size_column_commitments_bytes: 23920, size_file_coded_bytes: 8388608, scenario_disperse_runtime_client_seconds: 13.124805390999999, scenario_disperse_runtime_node_seconds: 0.16592275092382813, scenario_disperse_communication_bytes: 20635648, scenario_disperse_storage_bytes: 20635648, scenario_retrieve_runtime_client_seconds: 18.773848792, scenario_sampling_num_openings: 230, scenario_sampling_runtime_prover_seconds: 0.05789464716086953, scenario_sampling_runtime_verifier_seconds: 0.009031592543478255, scenario_sampling_runtime_proof_size_bytes: 24072 }
512 230 512 1 bls12-381  3738880  0.124225 0.012430  12.846060 0.055852 0.278745 0.000544 84.952448 0.165923  13.839053 0.060170 2.364139 0.004617 2.570657  230 512 512 230 512  3768320 23920 8388608  13.124805 0.165923 20635648 20635648  18.773849  230 0.057895 0.009032 24072
# Args { n: 1024, k: 461, L: 512, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 7494016, runtime_setup_seconds: 0.131169305, runtime_file_generation_seconds: 0.021626853, runtime_all_column_commitments_seconds: 26.960791861, runtime_per_column_commitment_seconds: 0.058483279524945773, runtime_all_row_encodings_seconds: 0.538297148, runtime_per_row_encoding_seconds: 0.0010513616171875, runtime_all_chunk_verifications_seconds: 293.134815294, runtime_per_chunk_verification_seconds: 0.2862644680605469, runtime_all_downloaded_chunk_verifications_seconds: 28.314436376, runtime_per_downloaded_chunk_verification_seconds: 0.06141960168329718, runtime_all_row_decodings_seconds: 10.042810656, runtime_per_row_decoding_seconds: 0.0196148645625, runtime_prepare_decoding_seconds: 17.338732068, num_column_commitments: 461, num_row_encodings: 512, num_chunk_verifications: 1024, num_downloaded_chunk_verifications: 461, num_row_decodings: 512, size_file_uncoded_bytes: 7553024, size_column_commitments_bytes: 47944, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 27.499089009000002, scenario_disperse_runtime_node_seconds: 0.2862644680605469, scenario_disperse_communication_bytes: 65871872, scenario_disperse_storage_bytes: 65871872, scenario_retrieve_runtime_client_seconds: 55.6959791, scenario_sampling_num_openings: 461, scenario_sampling_runtime_prover_seconds: 0.05948029469197397, scenario_sampling_runtime_verifier_seconds: 0.00906119334490239, scenario_sampling_runtime_proof_size_bytes: 48096 }
1024 461 512 1 bls12-381  7494016  0.131169 0.021627  26.960792 0.058483 0.538297 0.001051 293.134815 0.286264  28.314436 0.061420 10.042811 0.019615 17.338732  461 512 1024 461 512  7553024 47944 16777216  27.499089 0.286264 65871872 65871872  55.695979  461 0.059480 0.009061 48096
