args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Args { n: 128, k: 43, L: 1024, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 1398016, runtime_setup_seconds: 0.205152873, runtime_file_generation_seconds: 0.00471173, runtime_all_column_commitments_seconds: 3.641791494, runtime_per_column_commitment_seconds: 0.08469282544186046, runtime_all_row_encodings_seconds: 0.175749346, runtime_per_row_encoding_seconds: 0.000171630220703125, runtime_all_chunk_verifications_seconds: 13.579737039, runtime_per_chunk_verification_seconds: 0.1060916956171875, runtime_all_downloaded_chunk_verifications_seconds: 3.8234782320000003, runtime_per_downloaded_chunk_verification_seconds: 0.08891809841860465, runtime_all_row_decodings_seconds: 0.150726085, runtime_per_row_decoding_seconds: 0.0001471934423828125, runtime_prepare_decoding_seconds: 0.045145705, num_column_commitments: 43, num_row_encodings: 1024, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 43, num_row_decodings: 1024, size_file_uncoded_bytes: 1409024, size_column_commitments_bytes: 4472, size_file_coded_bytes: 4194304, scenario_disperse_runtime_client_seconds: 3.81754084, scenario_disperse_runtime_node_seconds: 0.1060916956171875, scenario_disperse_communication_bytes: 4766720, scenario_disperse_storage_bytes: 4766720, scenario_retrieve_runtime_client_seconds: 4.019350022, scenario_sampling_num_openings: 43, scenario_sampling_runtime_prover_seconds: 0.0867576891627907, scenario_sampling_runtime_verifier_seconds: 0.009157237162790698, scenario_sampling_runtime_proof_size_bytes: 4624 }
128 43 1024 1 bls12-381  1398016  0.205153 0.004712  3.641791 0.084693 0.175749 0.000172 13.579737 0.106092  3.823478 0.088918 0.150726 0.000147 0.045146  43 1024 128 43 1024  1409024 4472 4194304  3.817541 0.106092 4766720 4766720  4.019350  43 0.086758 0.009157 4624
# Args { n: 256, k: 85, L: 1024, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 2763520, runtime_setup_seconds: 0.20355692, runtime_file_generation_seconds: 0.010020356, runtime_all_column_commitments_seconds: 7.718522084, runtime_per_column_commitment_seconds: 0.09080614216470588, runtime_all_row_encodings_seconds: 0.265363948, runtime_per_row_encoding_seconds: 0.00025914448046875, runtime_all_chunk_verifications_seconds: 32.440776013, runtime_per_chunk_verification_seconds: 0.12672178130078124, runtime_all_downloaded_chunk_verifications_seconds: 8.231710553, runtime_per_downloaded_chunk_verification_seconds: 0.09684365356470587, runtime_all_row_decodings_seconds: 0.583106093, runtime_per_row_decoding_seconds: 0.0005694395439453125, runtime_prepare_decoding_seconds: 0.206954338, num_column_commitments: 85, num_row_encodings: 1024, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 85, num_row_decodings: 1024, size_file_uncoded_bytes: 2785280, size_column_commitments_bytes: 8840, size_file_coded_bytes: 8388608, scenario_disperse_runtime_client_seconds: 7.983886032, scenario_disperse_runtime_node_seconds: 0.12672178130078124, scenario_disperse_communication_bytes: 10651648, scenario_disperse_storage_bytes: 10651648, scenario_retrieve_runtime_client_seconds: 9.021770983999998, scenario_sampling_num_openings: 85, scenario_sampling_runtime_prover_seconds: 0.09037652071764707, scenario_sampling_runtime_verifier_seconds: 0.010784014023529413, scenario_sampling_runtime_proof_size_bytes: 8992 }
256 85 1024 1 bls12-381  2763520  0.203557 0.010020  7.718522 0.090806 0.265364 0.000259 32.440776 0.126722  8.231711 0.096844 0.583106 0.000569 0.206954  85 1024 256 85 1024  2785280 8840 8388608  7.983886 0.126722 10651648 10651648  9.021771  85 0.090377 0.010784 8992
# Args { n: 512, k: 171, L: 1024, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 5559552, runtime_setup_seconds: 0.200787945, runtime_file_generation_seconds: 0.017339303, runtime_all_column_commitments_seconds: 14.531560309, runtime_per_column_commitment_seconds: 0.08497988484795321, runtime_all_row_encodings_seconds: 0.534691309, runtime_per_row_encoding_seconds: 0.0005221594814453124, runtime_all_chunk_verifications_seconds: 84.886325694, runtime_per_chunk_verification_seconds: 0.16579360487109376, runtime_all_downloaded_chunk_verifications_seconds: 15.485926312, runtime_per_downloaded_chunk_verification_seconds: 0.09056097258479533, runtime_all_row_decodings_seconds: 2.5637135300000002, runtime_per_row_decoding_seconds: 0.0025036264941406252, runtime_prepare_decoding_seconds: 1.178715981, num_column_commitments: 171, num_row_encodings: 1024, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 171, num_row_decodings: 1024, size_file_uncoded_bytes: 5603328, size_column_commitments_bytes: 17784, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 15.066251617999999, scenario_disperse_runtime_node_seconds: 0.16579360487109376, scenario_disperse_communication_bytes: 25882624, scenario_disperse_storage_bytes: 25882624, scenario_retrieve_runtime_client_seconds: 19.228355823, scenario_sampling_num_openings: 171, scenario_sampling_runtime_prover_seconds: 0.0882637160877193, scenario_sampling_runtime_verifier_seconds: 0.009732017087719291, scenario_sampling_runtime_proof_size_bytes: 17936 }
512 171 1024 1 bls12-381  5559552  0.200788 0.017339  14.531560 0.084980 0.534691 0.000522 84.886326 0.165794  15.485926 0.090561 2.563714 0.002504 1.178716  171 1024 512 171 1024  5603328 17784 16777216  15.066252 0.165794 25882624 25882624  19.228356  171 0.088264 0.009732 17936
# Args { n: 1024, k: 341, L: 1024, iterations: 1, curve: Bls12_381 }
