args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
32 11 65536 1 bls12-381  22888448  6.085720 0.068044  30.907842 2.809804 3.828200 0.000058 90.872080 2.839753  30.922852 2.811168 0.641577 0.000010 0.004993  11 65536 32 11 65536  23068672 1144 67108864  34.736042 2.839753 67145472 67145472  31.569422  11 2.829656 0.012536 1296
64 21 32768 1 bls12-381  21848064  3.308254 0.066355  32.154398 1.531162 3.455327 0.000105 99.555013 1.555547  32.176209 1.532200 1.143401 0.000035 0.014205  21 32768 64 21 32768  22020096 2184 67108864  35.609724 1.555547 67248640 67248640  33.333815  21 1.540703 0.011592 2336
128 43 16384 1 bls12-381  22368256  1.846597 0.063635  35.814219 0.832889 2.588205 0.000158 109.487724 0.855373  35.865906 0.834091 2.408974 0.000147 0.044397  43 16384 128 43 16384  22544384 4472 67108864  38.402424 0.855373 67681280 67681280  38.319276  43 0.843298 0.012479 4624
256 85 8192 1 bls12-381  22108160  1.033981 0.064810  38.652040 0.454730 2.088087 0.000255 125.765739 0.491272  39.046056 0.459365 4.804472 0.000586 0.217825  85 8192 256 85 8192  22282240 8840 67108864  40.740127 0.491272 69371904 69371904  44.068353  85 0.458677 0.013876 8992
512 171 4096 1 bls12-381  22238208  0.560603 0.066422  46.263516 0.270547 1.996539 0.000487 186.042615 0.363364  47.209125 0.276077 10.199777 0.002490 1.179207  171 4096 512 171 4096  22413312 17784 67108864  48.260055 0.363364 76214272 76214272  58.588109  171 0.276582 0.011550 17936
1024 341 2048 1 bls12-381  22173184  0.330268 0.077913  52.020084 0.152552 2.123280 0.001037 323.875809 0.316285  55.698653 0.163339 21.914558 0.010700 7.451686  341 2048 1024 341 2048  22347776 35464 67108864  54.143363 0.316285 103424000 103424000  85.064897  341 0.159131 0.010719 35616
32 11 65536 1 bn254  22798336  3.253354 0.077613  16.055310 1.459574 4.131999 0.000063 46.995502 1.468609  16.037969 1.457997 0.659706 0.000010 0.003688  11 65536 32 11 65536  23068672 792 67108864  20.187309 1.468609 67134208 67134208  16.701363  11 1.482037 0.007376 912
64 21 32768 1 bn254  21762048  1.785635 0.073683  16.566478 0.788880 3.408269 0.000104 52.324846 0.817576  16.575848 0.789326 1.233221 0.000038 0.012590  21 32768 64 21 32768  22020096 1512 67108864  19.974747 0.817576 67205632 67205632  17.821659  21 0.802906 0.007963 1632
128 43 16384 1 bn254  22280192  0.990326 0.072957  18.344865 0.426625 2.599801 0.000159 56.824046 0.443938  18.343572 0.426595 2.607537 0.000159 0.050764  43 16384 128 43 16384  22544384 3096 67108864  20.944665 0.443938 67505152 67505152  21.001873  43 0.436341 0.008946 3216
256 85 8192 1 bn254  22021120  0.551918 0.073009  21.032866 0.247445 2.326316 0.000284 64.760310 0.252970  20.483850 0.240986 4.740667 0.000579 0.216144  85 8192 256 85 8192  22282240 6120 67108864  23.359182 0.252970 68675584 68675584  25.440661  85 0.242439 0.010759 6240
512 171 4096 1 bn254  22150656  0.300747 0.076866  23.523839 0.137566 2.037878 0.000498 94.470362 0.184512  24.018072 0.140457 10.528270 0.002570 1.185097  171 4096 512 171 4096  22413312 12312 67108864  25.561718 0.184512 73412608 73412608  35.731439  171 0.144040 0.007962 12432
1024 341 2048 1 bn254  22085888  0.179092 0.086480  26.901015 0.078889 2.152885 0.001051 163.153116 0.159329  28.886706 0.084712 22.570043 0.011021 7.536311  341 2048 1024 341 2048  22347776 24552 67108864  29.053900 0.159329 92250112 92250112  58.993059  341 0.079331 0.007050 24672
