args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   
128 43 4096 1 bls12-381  5592064  0.558732 0.016194  11.784074 0.274048 0.644220 0.000157 38.159009 0.298117  11.783850 0.274043 0.603667 0.000147 0.045781  43 4096 128 43 4096  5636096 4472 16777216  12.428294 0.298117 17349632 17349632  12.433298  43 0.277070 0.011655 4624
256 85 2048 1 bls12-381  5527040  0.329664 0.019156  13.170330 0.154945 0.533765 0.000261 50.508107 0.197297  13.894277 0.163462 1.166537 0.000570 0.206592  85 2048 256 85 2048  5570560 8840 16777216  13.704095 0.197297 19040256 19040256  15.267405  85 0.157262 0.010813 8992
512 171 1024 1 bls12-381  5559552  0.204945 0.017240  14.554389 0.085113 0.550430 0.000538 88.329878 0.172519  15.493044 0.090603 2.568640 0.002508 1.179181  171 1024 512 171 1024  5603328 17784 16777216  15.104819 0.172519 25882624 25882624  19.240865  171 0.086790 0.009604 17936
1024 341 512 1 bls12-381  5543296  0.126884 0.015859  18.970056 0.055631 0.531579 0.001038 227.389373 0.222060  21.222195 0.062235 5.479722 0.010703 7.459477  341 512 1024 341 512  5586944 35464 16777216  19.501635 0.222060 53092352 53092352  34.161394  341 0.057905 0.009023 35616
128 43 8192 1 bls12-381  11184128  1.039681 0.031558  19.870400 0.462102 1.360572 0.000166 60.858272 0.475455  19.975076 0.464537 1.206389 0.000147 0.044644  43 8192 128 43 8192  11272192 4472 33554432  21.230972 0.475455 34126848 34126848  21.226110  43 0.462160 0.013223 4624
256 85 4096 1 bls12-381  11054080  0.559698 0.032878  24.597248 0.289379 1.112013 0.000271 78.470680 0.306526  25.366287 0.298427 2.319870 0.000566 0.206456  85 4096 256 85 4096  11141120 8840 33554432  25.709260 0.306526 35817472 35817472  27.892613  85 0.273944 0.012860 8992
512 171 2048 1 bls12-381  11119104  0.330594 0.033798  26.101377 0.152640 1.100493 0.000537 119.585924 0.233566  26.930641 0.157489 5.103231 0.002492 1.175421  171 2048 512 171 2048  11206656 17784 33554432  27.201870 0.233566 42659840 42659840  33.209293  171 0.151953 0.009393 17936
1024 341 1024 1 bls12-381  11086592  0.201439 0.037857  29.040434 0.085163 1.071757 0.001047 257.226154 0.251197  31.287697 0.091753 10.652294 0.010403 7.471534  341 1024 1024 341 1024  11173888 35464 33554432  30.112191 0.251197 69869568 69869568  49.411525  341 0.086835 0.009108 35616
128 43 16384 1 bls12-381  22368256  1.845824 0.064543  35.744088 0.831258 2.620720 0.000160 109.055795 0.851998  35.870576 0.834199 2.408640 0.000147 0.045702  43 16384 128 43 16384  22544384 4472 67108864  38.364808 0.851998 67681280 67681280  38.324918  43 0.850587 0.013134 4624
256 85 8192 1 bls12-381  22108160  1.033925 0.063625  38.778044 0.456212 2.108518 0.000257 126.003021 0.492199  39.056304 0.459486 4.662969 0.000569 0.209562  85 8192 256 85 8192  22282240 8840 67108864  40.886562 0.492199 69371904 69371904  43.928836  85 0.463096 0.014332 8992
512 171 4096 1 bls12-381  22238208  0.561089 0.071347  47.449745 0.277484 2.035504 0.000497 180.900805 0.353322  48.382409 0.282938 11.018702 0.002690 1.229321  171 4096 512 171 4096  22413312 17784 67108864  49.485249 0.353322 76214272 76214272  60.630432  171 0.273524 0.013155 17936
1024 341 2048 1 bls12-381  22173184  0.330598 0.077471  51.763861 0.151800 2.139676 0.001045 324.771869 0.317160  53.865809 0.157964 21.911509 0.010699 7.448668  341 2048 1024 341 2048  22347776 35464 67108864  53.903538 0.317160 103424000 103424000  83.225986  341 0.151901 0.009305 35616
128 43 32768 1 bls12-381  44736512  3.318791 0.135491  65.962578 1.534013 5.270982 0.000161 198.840076 1.553438  66.072568 1.536571 4.816683 0.000147 0.044231  43 32768 128 43 32768  45088768 4472 134217728  71.233560 1.553438 134790144 134790144  70.933481  43 1.541473 0.011514 4624
256 85 16384 1 bls12-381  44216320  1.847439 0.188178  71.327284 0.839145 4.589874 0.000280 233.050765 0.910355  73.383317 0.863333 9.693621 0.000592 0.220273  85 16384 256 85 16384  44564480 8840 134217728  75.917158 0.910355 136480768 136480768  83.297211  85 0.876534 0.015092 8992
512 171 8192 1 bls12-381  44476416  1.035223 0.129507  78.454590 0.458799 3.995909 0.000488 274.566212 0.536262  78.807151 0.460861 20.443990 0.002496 1.243787  171 8192 512 171 8192  44826624 17784 134217728  82.450499 0.536262 143323136 143323136  100.494928  171 0.459119 0.014002 17936
1024 341 4096 1 bls12-381  44346368  0.572623 0.159926  96.230289 0.282200 4.062458 0.000992 471.911421 0.460851  97.039324 0.284573 45.084507 0.011007 7.918894  341 4096 1024 341 4096  44695552 35464 134217728  100.292747 0.460851 170532864 170532864  150.042725  341 0.284286 0.012488 35616
