args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Args { n: 128, k: 43, L: 4096, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 5592064, runtime_setup_seconds: 0.558731896, runtime_file_generation_seconds: 0.016194168, runtime_all_column_commitments_seconds: 11.784073792000001, runtime_per_column_commitment_seconds: 0.27404822772093024, runtime_all_row_encodings_seconds: 0.644220194, runtime_per_row_encoding_seconds: 0.00015728032080078124, runtime_all_chunk_verifications_seconds: 38.159008649, runtime_per_chunk_verification_seconds: 0.2981172550703125, runtime_all_downloaded_chunk_verifications_seconds: 11.783850344, runtime_per_downloaded_chunk_verification_seconds: 0.2740430312558139, runtime_all_row_decodings_seconds: 0.603667106, runtime_per_row_decoding_seconds: 0.00014737966455078124, runtime_prepare_decoding_seconds: 0.04578067, num_column_commitments: 43, num_row_encodings: 4096, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 43, num_row_decodings: 4096, size_file_uncoded_bytes: 5636096, size_column_commitments_bytes: 4472, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 12.428293986000002, scenario_disperse_runtime_node_seconds: 0.2981172550703125, scenario_disperse_communication_bytes: 17349632, scenario_disperse_storage_bytes: 17349632, scenario_retrieve_runtime_client_seconds: 12.433298119999998, scenario_sampling_num_openings: 43, scenario_sampling_runtime_prover_seconds: 0.27706997795348837, scenario_sampling_runtime_verifier_seconds: 0.011654719976744186, scenario_sampling_runtime_proof_size_bytes: 4624 }
128 43 4096 1 bls12-381  5592064  0.558732 0.016194  11.784074 0.274048 0.644220 0.000157 38.159009 0.298117  11.783850 0.274043 0.603667 0.000147 0.045781  43 4096 128 43 4096  5636096 4472 16777216  12.428294 0.298117 17349632 17349632  12.433298  43 0.277070 0.011655 4624
# Args { n: 256, k: 85, L: 2048, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 5527040, runtime_setup_seconds: 0.329663687, runtime_file_generation_seconds: 0.019155873, runtime_all_column_commitments_seconds: 13.170330113, runtime_per_column_commitment_seconds: 0.15494506015294118, runtime_all_row_encodings_seconds: 0.53376477, runtime_per_row_encoding_seconds: 0.0002606273291015625, runtime_all_chunk_verifications_seconds: 50.508106718, runtime_per_chunk_verification_seconds: 0.1972972918671875, runtime_all_downloaded_chunk_verifications_seconds: 13.894277092, runtime_per_downloaded_chunk_verification_seconds: 0.16346208343529411, runtime_all_row_decodings_seconds: 1.166536801, runtime_per_row_decoding_seconds: 0.0005695980473632812, runtime_prepare_decoding_seconds: 0.206591533, num_column_commitments: 85, num_row_encodings: 2048, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 85, num_row_decodings: 2048, size_file_uncoded_bytes: 5570560, size_column_commitments_bytes: 8840, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 13.704094883, scenario_disperse_runtime_node_seconds: 0.1972972918671875, scenario_disperse_communication_bytes: 19040256, scenario_disperse_storage_bytes: 19040256, scenario_retrieve_runtime_client_seconds: 15.267405425999998, scenario_sampling_num_openings: 85, scenario_sampling_runtime_prover_seconds: 0.1572616364117647, scenario_sampling_runtime_verifier_seconds: 0.010813284847058825, scenario_sampling_runtime_proof_size_bytes: 8992 }
256 85 2048 1 bls12-381  5527040  0.329664 0.019156  13.170330 0.154945 0.533765 0.000261 50.508107 0.197297  13.894277 0.163462 1.166537 0.000570 0.206592  85 2048 256 85 2048  5570560 8840 16777216  13.704095 0.197297 19040256 19040256  15.267405  85 0.157262 0.010813 8992
# Args { n: 512, k: 171, L: 1024, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 5559552, runtime_setup_seconds: 0.204945179, runtime_file_generation_seconds: 0.017240376, runtime_all_column_commitments_seconds: 14.554388559, runtime_per_column_commitment_seconds: 0.08511338338596491, runtime_all_row_encodings_seconds: 0.550430093, runtime_per_row_encoding_seconds: 0.0005375293876953125, runtime_all_chunk_verifications_seconds: 88.329877672, runtime_per_chunk_verification_seconds: 0.172519292328125, runtime_all_downloaded_chunk_verifications_seconds: 15.493044438, runtime_per_downloaded_chunk_verification_seconds: 0.09060259905263159, runtime_all_row_decodings_seconds: 2.568639664, runtime_per_row_decoding_seconds: 0.002508437171875, runtime_prepare_decoding_seconds: 1.179180902, num_column_commitments: 171, num_row_encodings: 1024, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 171, num_row_decodings: 1024, size_file_uncoded_bytes: 5603328, size_column_commitments_bytes: 17784, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 15.104818651999999, scenario_disperse_runtime_node_seconds: 0.172519292328125, scenario_disperse_communication_bytes: 25882624, scenario_disperse_storage_bytes: 25882624, scenario_retrieve_runtime_client_seconds: 19.240865004, scenario_sampling_num_openings: 171, scenario_sampling_runtime_prover_seconds: 0.0867896858947368, scenario_sampling_runtime_verifier_seconds: 0.00960361862573099, scenario_sampling_runtime_proof_size_bytes: 17936 }
512 171 1024 1 bls12-381  5559552  0.204945 0.017240  14.554389 0.085113 0.550430 0.000538 88.329878 0.172519  15.493044 0.090603 2.568640 0.002508 1.179181  171 1024 512 171 1024  5603328 17784 16777216  15.104819 0.172519 25882624 25882624  19.240865  171 0.086790 0.009604 17936
# Args { n: 1024, k: 341, L: 512, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 5543296, runtime_setup_seconds: 0.126884459, runtime_file_generation_seconds: 0.015858917, runtime_all_column_commitments_seconds: 18.970056392, runtime_per_column_commitment_seconds: 0.05563066390615836, runtime_all_row_encodings_seconds: 0.531579066, runtime_per_row_encoding_seconds: 0.00103824036328125, runtime_all_chunk_verifications_seconds: 227.389373457, runtime_per_chunk_verification_seconds: 0.22205993501660157, runtime_all_downloaded_chunk_verifications_seconds: 21.222195127, runtime_per_downloaded_chunk_verification_seconds: 0.062235176325513196, runtime_all_row_decodings_seconds: 5.479721667, runtime_per_row_decoding_seconds: 0.010702581380859374, runtime_prepare_decoding_seconds: 7.459477128, num_column_commitments: 341, num_row_encodings: 512, num_chunk_verifications: 1024, num_downloaded_chunk_verifications: 341, num_row_decodings: 512, size_file_uncoded_bytes: 5586944, size_column_commitments_bytes: 35464, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 19.501635458, scenario_disperse_runtime_node_seconds: 0.22205993501660157, scenario_disperse_communication_bytes: 53092352, scenario_disperse_storage_bytes: 53092352, scenario_retrieve_runtime_client_seconds: 34.161393922, scenario_sampling_num_openings: 341, scenario_sampling_runtime_prover_seconds: 0.057905150140762515, scenario_sampling_runtime_verifier_seconds: 0.00902259073607038, scenario_sampling_runtime_proof_size_bytes: 35616 }
1024 341 512 1 bls12-381  5543296  0.126884 0.015859  18.970056 0.055631 0.531579 0.001038 227.389373 0.222060  21.222195 0.062235 5.479722 0.010703 7.459477  341 512 1024 341 512  5586944 35464 16777216  19.501635 0.222060 53092352 53092352  34.161394  341 0.057905 0.009023 35616
# Args { n: 128, k: 43, L: 8192, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 11184128, runtime_setup_seconds: 1.0396813520000001, runtime_file_generation_seconds: 0.031557958, runtime_all_column_commitments_seconds: 19.870399952, runtime_per_column_commitment_seconds: 0.4621023244651163, runtime_all_row_encodings_seconds: 1.360572184, runtime_per_row_encoding_seconds: 0.0001660854716796875, runtime_all_chunk_verifications_seconds: 60.858271621, runtime_per_chunk_verification_seconds: 0.4754552470390625, runtime_all_downloaded_chunk_verifications_seconds: 19.97507629, runtime_per_downloaded_chunk_verification_seconds: 0.46453665790697674, runtime_all_row_decodings_seconds: 1.206389073, runtime_per_row_decoding_seconds: 0.0001472642911376953, runtime_prepare_decoding_seconds: 0.044644485, num_column_commitments: 43, num_row_encodings: 8192, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 43, num_row_decodings: 8192, size_file_uncoded_bytes: 11272192, size_column_commitments_bytes: 4472, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 21.230972136, scenario_disperse_runtime_node_seconds: 0.4754552470390625, scenario_disperse_communication_bytes: 34126848, scenario_disperse_storage_bytes: 34126848, scenario_retrieve_runtime_client_seconds: 21.226109848, scenario_sampling_num_openings: 43, scenario_sampling_runtime_prover_seconds: 0.46215980176744176, scenario_sampling_runtime_verifier_seconds: 0.013222865418604646, scenario_sampling_runtime_proof_size_bytes: 4624 }
128 43 8192 1 bls12-381  11184128  1.039681 0.031558  19.870400 0.462102 1.360572 0.000166 60.858272 0.475455  19.975076 0.464537 1.206389 0.000147 0.044644  43 8192 128 43 8192  11272192 4472 33554432  21.230972 0.475455 34126848 34126848  21.226110  43 0.462160 0.013223 4624
# Args { n: 256, k: 85, L: 4096, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 11054080, runtime_setup_seconds: 0.559698362, runtime_file_generation_seconds: 0.032877882, runtime_all_column_commitments_seconds: 24.597247534, runtime_per_column_commitment_seconds: 0.28937938275294117, runtime_all_row_encodings_seconds: 1.112012729, runtime_per_row_encoding_seconds: 0.0002714874826660156, runtime_all_chunk_verifications_seconds: 78.47067969, runtime_per_chunk_verification_seconds: 0.3065260925390625, runtime_all_downloaded_chunk_verifications_seconds: 25.366286665, runtime_per_downloaded_chunk_verification_seconds: 0.2984269019411765, runtime_all_row_decodings_seconds: 2.31987016, runtime_per_row_decoding_seconds: 0.00056637455078125, runtime_prepare_decoding_seconds: 0.206456223, num_column_commitments: 85, num_row_encodings: 4096, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 85, num_row_decodings: 4096, size_file_uncoded_bytes: 11141120, size_column_commitments_bytes: 8840, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 25.709260263, scenario_disperse_runtime_node_seconds: 0.3065260925390625, scenario_disperse_communication_bytes: 35817472, scenario_disperse_storage_bytes: 35817472, scenario_retrieve_runtime_client_seconds: 27.892613048, scenario_sampling_num_openings: 85, scenario_sampling_runtime_prover_seconds: 0.27394438242352953, scenario_sampling_runtime_verifier_seconds: 0.012860261882352945, scenario_sampling_runtime_proof_size_bytes: 8992 }
256 85 4096 1 bls12-381  11054080  0.559698 0.032878  24.597248 0.289379 1.112013 0.000271 78.470680 0.306526  25.366287 0.298427 2.319870 0.000566 0.206456  85 4096 256 85 4096  11141120 8840 33554432  25.709260 0.306526 35817472 35817472  27.892613  85 0.273944 0.012860 8992
# Args { n: 512, k: 171, L: 2048, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 11119104, runtime_setup_seconds: 0.330594071, runtime_file_generation_seconds: 0.033798232, runtime_all_column_commitments_seconds: 26.101377476, runtime_per_column_commitment_seconds: 0.1526396343625731, runtime_all_row_encodings_seconds: 1.100492761, runtime_per_row_encoding_seconds: 0.0005373499809570312, runtime_all_chunk_verifications_seconds: 119.585923755, runtime_per_chunk_verification_seconds: 0.23356625733398437, runtime_all_downloaded_chunk_verifications_seconds: 26.930640756, runtime_per_downloaded_chunk_verification_seconds: 0.15748912722807018, runtime_all_row_decodings_seconds: 5.103230584, runtime_per_row_decoding_seconds: 0.00249181180859375, runtime_prepare_decoding_seconds: 1.175421493, num_column_commitments: 171, num_row_encodings: 2048, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 171, num_row_decodings: 2048, size_file_uncoded_bytes: 11206656, size_column_commitments_bytes: 17784, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 27.201870237, scenario_disperse_runtime_node_seconds: 0.23356625733398437, scenario_disperse_communication_bytes: 42659840, scenario_disperse_storage_bytes: 42659840, scenario_retrieve_runtime_client_seconds: 33.209292833, scenario_sampling_num_openings: 171, scenario_sampling_runtime_prover_seconds: 0.15195261665497076, scenario_sampling_runtime_verifier_seconds: 0.009393030719298244, scenario_sampling_runtime_proof_size_bytes: 17936 }
512 171 2048 1 bls12-381  11119104  0.330594 0.033798  26.101377 0.152640 1.100493 0.000537 119.585924 0.233566  26.930641 0.157489 5.103231 0.002492 1.175421  171 2048 512 171 2048  11206656 17784 33554432  27.201870 0.233566 42659840 42659840  33.209293  171 0.151953 0.009393 17936
# Args { n: 1024, k: 341, L: 1024, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 11086592, runtime_setup_seconds: 0.201439442, runtime_file_generation_seconds: 0.037857025, runtime_all_column_commitments_seconds: 29.040434156, runtime_per_column_commitment_seconds: 0.08516256350733138, runtime_all_row_encodings_seconds: 1.071756518, runtime_per_row_encoding_seconds: 0.001046637224609375, runtime_all_chunk_verifications_seconds: 257.226154269, runtime_per_chunk_verification_seconds: 0.2511974162783203, runtime_all_downloaded_chunk_verifications_seconds: 31.287696994, runtime_per_downloaded_chunk_verification_seconds: 0.09175277710850441, runtime_all_row_decodings_seconds: 10.652294129, runtime_per_row_decoding_seconds: 0.010402630985351562, runtime_prepare_decoding_seconds: 7.471534233, num_column_commitments: 341, num_row_encodings: 1024, num_chunk_verifications: 1024, num_downloaded_chunk_verifications: 341, num_row_decodings: 1024, size_file_uncoded_bytes: 11173888, size_column_commitments_bytes: 35464, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 30.112190674, scenario_disperse_runtime_node_seconds: 0.2511974162783203, scenario_disperse_communication_bytes: 69869568, scenario_disperse_storage_bytes: 69869568, scenario_retrieve_runtime_client_seconds: 49.411525356, scenario_sampling_num_openings: 341, scenario_sampling_runtime_prover_seconds: 0.08683480752785924, scenario_sampling_runtime_verifier_seconds: 0.009108364278592383, scenario_sampling_runtime_proof_size_bytes: 35616 }
1024 341 1024 1 bls12-381  11086592  0.201439 0.037857  29.040434 0.085163 1.071757 0.001047 257.226154 0.251197  31.287697 0.091753 10.652294 0.010403 7.471534  341 1024 1024 341 1024  11173888 35464 33554432  30.112191 0.251197 69869568 69869568  49.411525  341 0.086835 0.009108 35616
# Args { n: 128, k: 43, L: 16384, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 22368256, runtime_setup_seconds: 1.845824216, runtime_file_generation_seconds: 0.064542793, runtime_all_column_commitments_seconds: 35.744088259, runtime_per_column_commitment_seconds: 0.8312578664883721, runtime_all_row_encodings_seconds: 2.620719815, runtime_per_row_encoding_seconds: 0.0001599560433959961, runtime_all_chunk_verifications_seconds: 109.055794604, runtime_per_chunk_verification_seconds: 0.85199839534375, runtime_all_downloaded_chunk_verifications_seconds: 35.870576279, runtime_per_downloaded_chunk_verification_seconds: 0.8341994483488372, runtime_all_row_decodings_seconds: 2.408639518, runtime_per_row_decoding_seconds: 0.0001470116893310547, runtime_prepare_decoding_seconds: 0.04570245, num_column_commitments: 43, num_row_encodings: 16384, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 43, num_row_decodings: 16384, size_file_uncoded_bytes: 22544384, size_column_commitments_bytes: 4472, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 38.364808074, scenario_disperse_runtime_node_seconds: 0.85199839534375, scenario_disperse_communication_bytes: 67681280, scenario_disperse_storage_bytes: 67681280, scenario_retrieve_runtime_client_seconds: 38.324918247, scenario_sampling_num_openings: 43, scenario_sampling_runtime_prover_seconds: 0.8505868891860466, scenario_sampling_runtime_verifier_seconds: 0.013134214186046511, scenario_sampling_runtime_proof_size_bytes: 4624 }
