args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   
128 43 512 1 bn254  696256  0.067452 0.004135  1.146606 0.026665 0.079880 0.000156 5.453688 0.042607  1.227813 0.028554 0.077162 0.000151 0.046793  43 512 128 43 512  704512 3096 2097152  1.226486 0.042607 2493440 2493440  1.351768  43 0.031101 0.007717 3216
256 85 512 1 bn254  1376320  0.062869 0.006572  2.674122 0.031460 0.134597 0.000263 12.547803 0.049015  2.897757 0.034091 0.302662 0.000591 0.222815  85 512 256 85 512  1392640 6120 4194304  2.808719 0.049015 5761024 5761024  3.423234  85 0.032491 0.007943 6240
512 171 512 1 bn254  2768832  0.064191 0.010533  4.535078 0.026521 0.279077 0.000545 35.057700 0.068472  5.017203 0.029340 1.318665 0.002576 1.188051  171 512 512 171 512  2801664 12312 8388608  4.814154 0.068472 14692352 14692352  7.523918  171 0.031151 0.007723 12432
1024 341 512 1 bn254  5521472  0.065400 0.019938  9.073732 0.026609 0.537698 0.001050 113.923982 0.111254  10.192958 0.029891 5.374443 0.010497 7.541442  341 512 1024 341 512  5586944 24552 16777216  9.611430 0.111254 41918464 41918464  23.108843  341 0.031457 0.007780 24672
128 43 1024 1 bn254  1392512  0.106752 0.006062  1.786635 0.041550 0.164101 0.000160 7.198332 0.056237  1.874608 0.043596 0.154231 0.000151 0.046501  43 1024 128 43 1024  1409024 3096 4194304  1.950736 0.056237 4590592 4590592  2.075340  43 0.046131 0.007874 3216
256 85 1024 1 bn254  2752640  0.107152 0.008847  4.002402 0.047087 0.264720 0.000259 16.451591 0.064264  4.436418 0.052193 0.668945 0.000653 0.247752  85 1024 256 85 1024  2785280 6120 8388608  4.267122 0.064264 9955328 9955328  5.353115  85 0.049394 0.007344 6240
512 171 1024 1 bn254  5537664  0.108104 0.021805  7.127825 0.041683 0.567074 0.000554 42.608444 0.083220  7.619255 0.044557 2.629712 0.002568 1.186876  171 1024 512 171 1024  5603328 12312 16777216  7.694900 0.083220 23080960 23080960  11.435844  171 0.046088 0.007874 12432
1024 341 1024 1 bn254  11042944  0.111607 0.041190  14.263429 0.041828 1.047421 0.001023 129.291437 0.126261  15.297169 0.044860 11.298977 0.011034 7.547646  341 1024 1024 341 1024  11173888 24552 33554432  15.310850 0.126261 58695680 58695680  34.143791  341 0.046191 0.007859 24672
128 43 2048 1 bn254  2785024  0.177505 0.011221  3.298056 0.076699 0.327602 0.000160 11.376136 0.088876  3.479738 0.080924 0.309896 0.000151 0.045059  43 2048 128 43 2048  2818048 3096 8388608  3.625658 0.088876 8784896 8784896  3.834693  43 0.083258 0.007207 3216
256 85 2048 1 bn254  5505280  0.178208 0.020566  6.792375 0.079910 0.579135 0.000283 24.633789 0.096226  7.109836 0.083645 1.187004 0.000580 0.207019  85 2048 256 85 2048  5570560 6120 16777216  7.371509 0.096226 18343936 18343936  8.503858  85 0.083991 0.007077 6240
512 171 2048 1 bn254  11075328  0.175094 0.038601  13.354303 0.078095 1.031502 0.000504 60.165517 0.117511  13.902542 0.081301 5.269669 0.002573 1.186146  171 2048 512 171 2048  11206656 12312 33554432  14.385806 0.117511 39858176 39858176  20.358357  171 0.079186 0.007115 12432
1024 341 2048 1 bn254  22085888  0.176651 0.086018  26.304492 0.077139 2.137421 0.001044 163.236379 0.159411  27.494708 0.080630 22.606472 0.011038 7.539322  341 2048 1024 341 2048  22347776 24552 67108864  28.441913 0.159411 92250112 92250112  57.640502  341 0.079127 0.007091 24672
128 43 4096 1 bn254  5570048  0.299319 0.018782  6.094657 0.141736 0.587096 0.000143 19.290238 0.150705  6.521576 0.151665 0.616783 0.000151 0.046410  43 4096 128 43 4096  5636096 3096 16777216  6.681753 0.150705 17173504 17173504  7.184769  43 0.142795 0.007471 3216
256 85 4096 1 bn254  11010560  0.298578 0.038325  12.133928 0.142752 1.158915 0.000283 39.484627 0.154237  13.037579 0.153383 2.371242 0.000579 0.207606  85 4096 256 85 4096  11141120 6120 33554432  13.292843 0.154237 35121152 35121152  15.616427  85 0.142457 0.007486 6240
512 171 4096 1 bn254  22150656  0.300709 0.075476  26.148992 0.152918 2.150681 0.000525 90.839340 0.177421  25.891667 0.151413 10.543631 0.002574 1.189439  171 4096 512 171 4096  22413312 12312 67108864  28.299672 0.177421 73412608 73412608  37.624738  171 0.143119 0.007501 12432
1024 341 4096 1 bn254  44171776  0.302819 0.171246  47.052777 0.137985 4.073437 0.000994 233.561441 0.228087  47.929799 0.140557 43.382432 0.010591 7.534376  341 4096 1024 341 4096  44695552 24552 134217728  51.126214 0.228087 159358976 159358976  98.846607  341 0.143879 0.007943 24672
