args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Args { n: 128, k: 32, L: 1024, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 1040384, runtime_setup_seconds: 0.201429485, runtime_file_generation_seconds: 0.003439946, runtime_all_column_commitments_seconds: 2.721835232, runtime_per_column_commitment_seconds: 0.085057351, runtime_all_row_encodings_seconds: 0.165524187, runtime_per_row_encoding_seconds: 0.0001616447138671875, runtime_all_chunk_verifications_seconds: 12.931872033, runtime_per_chunk_verification_seconds: 0.1010302502578125, runtime_all_downloaded_chunk_verifications_seconds: 3.243319311, runtime_per_downloaded_chunk_verification_seconds: 0.10135372846875, runtime_all_row_decodings_seconds: 0.084905578, runtime_per_row_decoding_seconds: 8.2915603515625e-5, runtime_prepare_decoding_seconds: 0.020725266, num_column_commitments: 32, num_row_encodings: 1024, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 32, num_row_decodings: 1024, size_file_uncoded_bytes: 1048576, size_column_commitments_bytes: 3328, size_file_coded_bytes: 4194304, scenario_disperse_runtime_client_seconds: 2.887359419, scenario_disperse_runtime_node_seconds: 0.1010302502578125, scenario_disperse_communication_bytes: 4620288, scenario_disperse_storage_bytes: 4620288, scenario_retrieve_runtime_client_seconds: 3.348950155, scenario_sampling_num_openings: 32, scenario_sampling_runtime_prover_seconds: 0.08646947053125001, scenario_sampling_runtime_verifier_seconds: 0.009155101843750003, scenario_sampling_runtime_proof_size_bytes: 3480 }
128 32 1024 1 bls12-381  1040384  0.201429 0.003440  2.721835 0.085057 0.165524 0.000162 12.931872 0.101030  3.243319 0.101354 0.084906 0.000083 0.020725  32 1024 128 32 1024  1048576 3328 4194304  2.887359 0.101030 4620288 4620288  3.348950  32 0.086469 0.009155 3480
# Args { n: 256, k: 64, L: 1024, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 2080768, runtime_setup_seconds: 0.201523048, runtime_file_generation_seconds: 0.007153877, runtime_all_column_commitments_seconds: 5.427760468, runtime_per_column_commitment_seconds: 0.0848087573125, runtime_all_row_encodings_seconds: 0.285991738, runtime_per_row_encoding_seconds: 0.000279288806640625, runtime_all_chunk_verifications_seconds: 28.851721394, runtime_per_chunk_verification_seconds: 0.1127020366953125, runtime_all_downloaded_chunk_verifications_seconds: 7.210902961, runtime_per_downloaded_chunk_verification_seconds: 0.112670358765625, runtime_all_row_decodings_seconds: 0.340275148, runtime_per_row_decoding_seconds: 0.00033229994921875, runtime_prepare_decoding_seconds: 0.101371729, num_column_commitments: 64, num_row_encodings: 1024, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 64, num_row_decodings: 1024, size_file_uncoded_bytes: 2097152, size_column_commitments_bytes: 6656, size_file_coded_bytes: 8388608, scenario_disperse_runtime_client_seconds: 5.713752206, scenario_disperse_runtime_node_seconds: 0.1127020366953125, scenario_disperse_communication_bytes: 10092544, scenario_disperse_storage_bytes: 10092544, scenario_retrieve_runtime_client_seconds: 7.6525498380000005, scenario_sampling_num_openings: 64, scenario_sampling_runtime_prover_seconds: 0.08675347976562497, scenario_sampling_runtime_verifier_seconds: 0.009108009953125, scenario_sampling_runtime_proof_size_bytes: 6808 }
256 64 1024 1 bls12-381  2080768  0.201523 0.007154  5.427760 0.084809 0.285992 0.000279 28.851721 0.112702  7.210903 0.112670 0.340275 0.000332 0.101372  64 1024 256 64 1024  2097152 6656 8388608  5.713752 0.112702 10092544 10092544  7.652550  64 0.086753 0.009108 6808
# Args { n: 512, k: 128, L: 1024, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 4161536, runtime_setup_seconds: 0.205256516, runtime_file_generation_seconds: 0.013999862, runtime_all_column_commitments_seconds: 11.572257688, runtime_per_column_commitment_seconds: 0.0904082631875, runtime_all_row_encodings_seconds: 0.488984276, runtime_per_row_encoding_seconds: 0.00047752370703125, runtime_all_chunk_verifications_seconds: 76.491754775, runtime_per_chunk_verification_seconds: 0.14939795854492188, runtime_all_downloaded_chunk_verifications_seconds: 19.091119308, runtime_per_downloaded_chunk_verification_seconds: 0.14914936959375, runtime_all_row_decodings_seconds: 1.4324172640000001, runtime_per_row_decoding_seconds: 0.0013988449843750001, runtime_prepare_decoding_seconds: 0.552515991, num_column_commitments: 128, num_row_encodings: 1024, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 128, num_row_decodings: 1024, size_file_uncoded_bytes: 4194304, size_column_commitments_bytes: 13312, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 12.061241964, scenario_disperse_runtime_node_seconds: 0.14939795854492188, scenario_disperse_communication_bytes: 23592960, scenario_disperse_storage_bytes: 23592960, scenario_retrieve_runtime_client_seconds: 21.076052563, scenario_sampling_num_openings: 128, scenario_sampling_runtime_prover_seconds: 0.09065465346874998, scenario_sampling_runtime_verifier_seconds: 0.010724877632812498, scenario_sampling_runtime_proof_size_bytes: 13464 }
512 128 1024 1 bls12-381  4161536  0.205257 0.014000  11.572258 0.090408 0.488984 0.000478 76.491755 0.149398  19.091119 0.149149 1.432417 0.001399 0.552516  128 1024 512 128 1024  4194304 13312 16777216  12.061242 0.149398 23592960 23592960  21.076053  128 0.090655 0.010725 13464
# Args { n: 1024, k: 256, L: 1024, iterations: 1, curve: Bls12_381 }
