args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
128 43 4096 1 bls12-381  5592064  0.558732 0.016194  11.784074 0.274048 0.644220 0.000157 38.159009 0.298117  11.783850 0.274043 0.603667 0.000147 0.045781  43 4096 128 43 4096  5636096 4472 16777216  12.428294 0.298117 17349632 17349632  12.433298  43 0.277070 0.011655 4624
256 85 2048 1 bls12-381  5527040  0.329664 0.019156  13.170330 0.154945 0.533765 0.000261 50.508107 0.197297  13.894277 0.163462 1.166537 0.000570 0.206592  85 2048 256 85 2048  5570560 8840 16777216  13.704095 0.197297 19040256 19040256  15.267405  85 0.157262 0.010813 8992
512 171 1024 1 bls12-381  5559552  0.204945 0.017240  14.554389 0.085113 0.550430 0.000538 88.329878 0.172519  15.493044 0.090603 2.568640 0.002508 1.179181  171 1024 512 171 1024  5603328 17784 16777216  15.104819 0.172519 25882624 25882624  19.240865  171 0.086790 0.009604 17936
1024 341 512 1 bls12-381  5543296  0.126884 0.015859  18.970056 0.055631 0.531579 0.001038 227.389373 0.222060  21.222195 0.062235 5.479722 0.010703 7.459477  341 512 1024 341 512  5586944 35464 16777216  19.501635 0.222060 53092352 53092352  34.161394  341 0.057905 0.009023 35616
128 43 8192 1 bls12-381  11184128  1.039681 0.031558  19.870400 0.462102 1.360572 0.000166 60.858272 0.475455  19.975076 0.464537 1.206389 0.000147 0.044644  43 8192 128 43 8192  11272192 4472 33554432  21.230972 0.475455 34126848 34126848  21.226110  43 0.462160 0.013223 4624
256 85 4096 1 bls12-381  11054080  0.559698 0.032878  24.597248 0.289379 1.112013 0.000271 78.470680 0.306526  25.366287 0.298427 2.319870 0.000566 0.206456  85 4096 256 85 4096  11141120 8840 33554432  25.709260 0.306526 35817472 35817472  27.892613  85 0.273944 0.012860 8992
512 171 2048 1 bls12-381  11119104  0.330594 0.033798  26.101377 0.152640 1.100493 0.000537 119.585924 0.233566  26.930641 0.157489 5.103231 0.002492 1.175421  171 2048 512 171 2048  11206656 17784 33554432  27.201870 0.233566 42659840 42659840  33.209293  171 0.151953 0.009393 17936
1024 341 1024 1 bls12-381  11086592  0.201439 0.037857  29.040434 0.085163 1.071757 0.001047 257.226154 0.251197  31.287697 0.091753 10.652294 0.010403 7.471534  341 1024 1024 341 1024  11173888 35464 33554432  30.112191 0.251197 69869568 69869568  49.411525  341 0.086835 0.009108 35616
128 43 16384 1 bls12-381  22368256  1.845824 0.064543  35.744088 0.831258 2.620720 0.000160 109.055795 0.851998  35.870576 0.834199 2.408640 0.000147 0.045702  43 16384 128 43 16384  22544384 4472 67108864  38.364808 0.851998 67681280 67681280  38.324918  43 0.850587 0.013134 4624
256 85 8192 1 bls12-381  22108160  1.033925 0.063625  38.778044 0.456212 2.108518 0.000257 126.003021 0.492199  39.056304 0.459486 4.662969 0.000569 0.209562  85 8192 256 85 8192  22282240 8840 67108864  40.886562 0.492199 69371904 69371904  43.928836  85 0.463096 0.014332 8992
512 171 4096 1 bls12-381  22238208  0.561089 0.071347  47.449745 0.277484 2.035504 0.000497 180.900805 0.353322  48.382409 0.282938 11.018702 0.002690 1.229321  171 4096 512 171 4096  22413312 17784 67108864  49.485249 0.353322 76214272 76214272  60.630432  171 0.273524 0.013155 17936
1024 341 2048 1 bls12-381  22173184  0.330598 0.077471  51.763861 0.151800 2.139676 0.001045 324.771869 0.317160  53.865809 0.157964 21.911509 0.010699 7.448668  341 2048 1024 341 2048  22347776 35464 67108864  53.903538 0.317160 103424000 103424000  83.225986  341 0.151901 0.009305 35616
128 43 32768 1 bls12-381  44736512  3.318791 0.135491  65.962578 1.534013 5.270982 0.000161 198.840076 1.553438  66.072568 1.536571 4.816683 0.000147 0.044231  43 32768 128 43 32768  45088768 4472 134217728  71.233560 1.553438 134790144 134790144  70.933481  43 1.541473 0.011514 4624
256 85 16384 1 bls12-381  44216320  1.847439 0.188178  71.327284 0.839145 4.589874 0.000280 233.050765 0.910355  73.383317 0.863333 9.693621 0.000592 0.220273  85 16384 256 85 16384  44564480 8840 134217728  75.917158 0.910355 136480768 136480768  83.297211  85 0.876534 0.015092 8992
512 171 8192 1 bls12-381  44476416  1.035223 0.129507  78.454590 0.458799 3.995909 0.000488 274.566212 0.536262  78.807151 0.460861 20.443990 0.002496 1.243787  171 8192 512 171 8192  44826624 17784 134217728  82.450499 0.536262 143323136 143323136  100.494928  171 0.459119 0.014002 17936
1024 341 4096 1 bls12-381  44346368  0.572623 0.159926  96.230289 0.282200 4.062458 0.000992 471.911421 0.460851  97.039324 0.284573 45.084507 0.011007 7.918894  341 4096 1024 341 4096  44695552 35464 134217728  100.292747 0.460851 170532864 170532864  150.042725  341 0.284286 0.012488 35616
128 43 4096 1 bn254  5570048  0.298125 0.017899  5.989579 0.139293 0.649143 0.000158 19.365681 0.151294  6.638222 0.154377 0.616093 0.000150 0.044922  43 4096 128 43 4096  5636096 3096 16777216  6.638722 0.151294 17173504 17173504  7.299237  43 0.142256 0.007698 3216
256 85 2048 1 bn254  5505280  0.176832 0.020972  6.601588 0.077666 0.578973 0.000283 24.304343 0.094939  6.759460 0.079523 1.188688 0.000580 0.208700  85 2048 256 85 2048  5570560 6120 16777216  7.180560 0.094939 18343936 18343936  8.156848  85 0.079335 0.007270 6240
512 171 1024 1 bn254  5537664  0.105118 0.019152  7.109140 0.041574 0.562845 0.000550 44.701770 0.087308  7.598848 0.044438 2.654485 0.002592 1.240337  171 1024 512 171 1024  5603328 12312 16777216  7.671985 0.087308 23080960 23080960  11.493670  171 0.048734 0.008100 12432
1024 341 512 1 bn254  5521472  0.067687 0.021391  10.568759 0.030993 0.513899 0.001004 115.839163 0.113124  11.921961 0.034962 5.396380 0.010540 7.562540  341 512 1024 341 512  5586944 24552 16777216  11.082658 0.113124 41918464 41918464  24.880882  341 0.032484 0.007913 24672
128 43 8192 1 bn254  11140096  0.547906 0.036142  10.627078 0.247141 1.304753 0.000159 31.677399 0.247480  10.677614 0.248317 1.232549 0.000150 0.045544  43 8192 128 43 8192  11272192 3096 33554432  11.931831 0.247480 33950720 33950720  11.955706  43 0.248758 0.009327 3216
256 85 4096 1 bn254  11010560  0.354914 0.037092  11.810095 0.138942 1.057018 0.000258 41.625751 0.162601  11.830306 0.139180 2.371586 0.000579 0.206760  85 4096 256 85 4096  11141120 6120 33554432  12.867113 0.162601 35121152 35121152  14.408653  85 0.144083 0.007802 6240
512 171 2048 1 bn254  11075328  0.177155 0.037682  13.250124 0.077486 1.112202 0.000543 60.682862 0.118521  13.516476 0.079044 5.268794 0.002573 1.184359  171 2048 512 171 2048  11206656 12312 33554432  14.362326 0.118521 39858176 39858176  19.969630  171 0.079174 0.007291 12432
1024 341 1024 1 bn254  11042944  0.109850 0.041972  14.187125 0.041604 1.080645 0.001055 129.368834 0.126337  15.342554 0.044993 11.287602 0.011023 7.529559  341 1024 1024 341 1024  11173888 24552 33554432  15.267769 0.126337 58695680 58695680  34.159714  341 0.046194 0.007830 24672
128 43 16384 1 bn254  22280192  0.999185 0.071574  18.321266 0.426076 2.642772 0.000161 56.397799 0.440608  18.356946 0.426906 2.603784 0.000159 0.046967  43 16384 128 43 16384  22544384 3096 67108864  20.964038 0.440608 67505152 67505152  21.007697  43 0.437787 0.008171 3216
256 85 8192 1 bn254  22021120  0.555501 0.075317  20.841452 0.245194 2.164773 0.000264 64.671128 0.252622  20.739805 0.243998 4.742919 0.000579 0.210564  85 8192 256 85 8192  22282240 6120 67108864  23.006226 0.252622 68675584 68675584  25.693288  85 0.241548 0.010844 6240
512 171 4096 1 bn254  22150656  0.301068 0.076009  24.997322 0.146183 2.233927 0.000545 90.727755 0.177203  25.899016 0.151456 10.536508 0.002572 1.188079  171 4096 512 171 4096  22413312 12312 67108864  27.231248 0.177203 73412608 73412608  37.623603  171 0.142508 0.007384 12432
1024 341 2048 1 bn254  22085888  0.178199 0.086074  27.225172 0.079839 2.029605 0.000991 167.343621 0.163422  28.312732 0.083029 22.634533 0.011052 7.541185  341 2048 1024 341 2048  22347776 24552 67108864  29.254777 0.163422 92250112 92250112  58.488450  341 0.082319 0.008018 24672
128 43 32768 1 bn254  44560384  1.786806 0.150939  34.000164 0.790701 5.326983 0.000163 102.867112 0.803649  33.958361 0.789729 5.054951 0.000154 0.050348  43 32768 128 43 32768  45088768 3096 134217728  39.327147 0.803649 134614016 134614016  39.063660  43 0.802240 0.008169 3216
256 85 16384 1 bn254  44042240  0.987693 0.147845  36.348547 0.427630 4.264303 0.000260 115.024792 0.449316  36.284322 0.426874 9.620373 0.000587 0.218225  85 16384 256 85 16384  44564480 6120 134217728  40.612850 0.449316 135784448 135784448  46.122920  85 0.435366 0.008817 6240
512 171 8192 1 bn254  44301312  0.552441 0.146932  42.656784 0.249455 4.441543 0.000542 142.549457 0.278417  43.412292 0.253873 21.084138 0.002574 1.184470  171 8192 512 171 8192  44826624 12312 134217728  47.098327 0.278417 140521472 140521472  65.680901  171 0.244651 0.008908 12432
1024 341 4096 1 bn254  44171776  0.298250 0.173395  51.328087 0.150522 4.279124 0.001045 224.481462 0.219220  52.543579 0.154087 43.463106 0.010611 7.535784  341 4096 1024 341 4096  44695552 24552 134217728  55.607212 0.219220 159358976 159358976  103.542468  341 0.142495 0.007605 24672
