args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Args { n: 128, k: 58, L: 8192, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 15085568, runtime_setup_seconds: 1.036423326, runtime_file_generation_seconds: 0.043484963, runtime_all_column_commitments_seconds: 27.620618449, runtime_per_column_commitment_seconds: 0.4762175594655172, runtime_all_row_encodings_seconds: 1.289729031, runtime_per_row_encoding_seconds: 0.0001574376258544922, runtime_all_chunk_verifications_seconds: 61.637098297, runtime_per_chunk_verification_seconds: 0.4815398304453125, runtime_all_downloaded_chunk_verifications_seconds: 27.716622401, runtime_per_downloaded_chunk_verification_seconds: 0.47787280001724136, runtime_all_row_decodings_seconds: 2.149958657, runtime_per_row_decoding_seconds: 0.0002624461251220703, runtime_prepare_decoding_seconds: 0.086319282, num_column_commitments: 58, num_row_encodings: 8192, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 58, num_row_decodings: 8192, size_file_uncoded_bytes: 15204352, size_column_commitments_bytes: 6032, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 28.91034748, scenario_disperse_runtime_node_seconds: 0.4815398304453125, scenario_disperse_communication_bytes: 34326528, scenario_disperse_storage_bytes: 34326528, scenario_retrieve_runtime_client_seconds: 29.95290034, scenario_sampling_num_openings: 58, scenario_sampling_runtime_prover_seconds: 0.46234075074137926, scenario_sampling_runtime_verifier_seconds: 0.013178020637931038, scenario_sampling_runtime_proof_size_bytes: 6184 }
128 58 8192 1 bls12-381  15085568  1.036423 0.043485  27.620618 0.476218 1.289729 0.000157 61.637098 0.481540  27.716622 0.477873 2.149959 0.000262 0.086319  58 8192 128 58 8192  15204352 6032 33554432  28.910347 0.481540 34326528 34326528  29.952900  58 0.462341 0.013178 6184
# Args { n: 256, k: 115, L: 4096, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 14955520, runtime_setup_seconds: 0.560950524, runtime_file_generation_seconds: 0.045693289, runtime_all_column_commitments_seconds: 31.183022413, runtime_per_column_commitment_seconds: 0.2711567166347826, runtime_all_row_encodings_seconds: 1.041131097, runtime_per_row_encoding_seconds: 0.00025418239672851564, runtime_all_chunk_verifications_seconds: 85.408630596, runtime_per_chunk_verification_seconds: 0.333627463265625, runtime_all_downloaded_chunk_verifications_seconds: 31.501244444, runtime_per_downloaded_chunk_verification_seconds: 0.2739238647304348, runtime_all_row_decodings_seconds: 4.540587923, runtime_per_row_decoding_seconds: 0.001108541973388672, runtime_prepare_decoding_seconds: 0.431504707, num_column_commitments: 115, num_row_encodings: 4096, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 115, num_row_decodings: 4096, size_file_uncoded_bytes: 15073280, size_column_commitments_bytes: 11960, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 32.22415351, scenario_disperse_runtime_node_seconds: 0.333627463265625, scenario_disperse_communication_bytes: 36616192, scenario_disperse_storage_bytes: 36616192, scenario_retrieve_runtime_client_seconds: 36.473337074, scenario_sampling_num_openings: 115, scenario_sampling_runtime_prover_seconds: 0.2781255762608695, scenario_sampling_runtime_verifier_seconds: 0.011385074799999999, scenario_sampling_runtime_proof_size_bytes: 12112 }
256 115 4096 1 bls12-381  14955520  0.560951 0.045693  31.183022 0.271157 1.041131 0.000254 85.408631 0.333627  31.501244 0.273924 4.540588 0.001109 0.431505  115 4096 256 115 4096  15073280 11960 33554432  32.224154 0.333627 36616192 36616192  36.473337  115 0.278126 0.011385 12112
# Args { n: 512, k: 230, L: 2048, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 14955520, runtime_setup_seconds: 0.330631416, runtime_file_generation_seconds: 0.045326292, runtime_all_column_commitments_seconds: 35.153952696, runtime_per_column_commitment_seconds: 0.15284327259130434, runtime_all_row_encodings_seconds: 1.005954698, runtime_per_row_encoding_seconds: 0.0004911888173828125, runtime_all_chunk_verifications_seconds: 133.927334994, runtime_per_chunk_verification_seconds: 0.26157682616015626, runtime_all_downloaded_chunk_verifications_seconds: 35.839406462, runtime_per_downloaded_chunk_verification_seconds: 0.15582350635652173, runtime_all_row_decodings_seconds: 9.563246874, runtime_per_row_decoding_seconds: 0.004669554137695313, runtime_prepare_decoding_seconds: 2.571214716, num_column_commitments: 230, num_row_encodings: 2048, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 230, num_row_decodings: 2048, size_file_uncoded_bytes: 15073280, size_column_commitments_bytes: 23920, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 36.159907394, scenario_disperse_runtime_node_seconds: 0.26157682616015626, scenario_disperse_communication_bytes: 45801472, scenario_disperse_storage_bytes: 45801472, scenario_retrieve_runtime_client_seconds: 47.973868052, scenario_sampling_num_openings: 230, scenario_sampling_runtime_prover_seconds: 0.15160623557826094, scenario_sampling_runtime_verifier_seconds: 0.00926839097826087, scenario_sampling_runtime_proof_size_bytes: 24072 }
512 230 2048 1 bls12-381  14955520  0.330631 0.045326  35.153953 0.152843 1.005955 0.000491 133.927335 0.261577  35.839406 0.155824 9.563247 0.004670 2.571215  230 2048 512 230 2048  15073280 23920 33554432  36.159907 0.261577 45801472 45801472  47.973868  230 0.151606 0.009268 24072
# Args { n: 1024, k: 461, L: 1024, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 14988032, runtime_setup_seconds: 0.198913383, runtime_file_generation_seconds: 0.044861443, runtime_all_column_commitments_seconds: 42.427761711, runtime_per_column_commitment_seconds: 0.09203419026247289, runtime_all_row_encodings_seconds: 1.022827284, runtime_per_row_encoding_seconds: 0.00099885476953125, runtime_all_chunk_verifications_seconds: 323.067889899, runtime_per_chunk_verification_seconds: 0.3154959862294922, runtime_all_downloaded_chunk_verifications_seconds: 45.654940346, runtime_per_downloaded_chunk_verification_seconds: 0.09903457775704988, runtime_all_row_decodings_seconds: 20.790492337, runtime_per_row_decoding_seconds: 0.020303215172851562, runtime_prepare_decoding_seconds: 17.309447568, num_column_commitments: 461, num_row_encodings: 1024, num_chunk_verifications: 1024, num_downloaded_chunk_verifications: 461, num_row_decodings: 1024, size_file_uncoded_bytes: 15106048, size_column_commitments_bytes: 47944, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 43.450588995000004, scenario_disperse_runtime_node_seconds: 0.3154959862294922, scenario_disperse_communication_bytes: 82649088, scenario_disperse_storage_bytes: 82649088, scenario_retrieve_runtime_client_seconds: 83.754880251, scenario_sampling_num_openings: 461, scenario_sampling_runtime_prover_seconds: 0.09118590891757043, scenario_sampling_runtime_verifier_seconds: 0.010652168329718005, scenario_sampling_runtime_proof_size_bytes: 48096 }
1024 461 1024 1 bls12-381  14988032  0.198913 0.044861  42.427762 0.092034 1.022827 0.000999 323.067890 0.315496  45.654940 0.099035 20.790492 0.020303 17.309448  461 1024 1024 461 1024  15106048 47944 33554432  43.450589 0.315496 82649088 82649088  83.754880  461 0.091186 0.010652 48096
# Args { n: 128, k: 58, L: 16384, iterations: 1, curve: Bls12_381 }
