args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Args { n: 128, k: 32, L: 8192, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 8323072, runtime_setup_seconds: 1.032232629, runtime_file_generation_seconds: 0.022984616, runtime_all_column_commitments_seconds: 14.640250761, runtime_per_column_commitment_seconds: 0.45750783628125, runtime_all_row_encodings_seconds: 1.2556220759999999, runtime_per_row_encoding_seconds: 0.00015327417919921873, runtime_all_chunk_verifications_seconds: 60.03579585, runtime_per_chunk_verification_seconds: 0.469029655078125, runtime_all_downloaded_chunk_verifications_seconds: 14.847935775, runtime_per_downloaded_chunk_verification_seconds: 0.46399799296875, runtime_all_row_decodings_seconds: 0.72418276, runtime_per_row_decoding_seconds: 8.84012158203125e-5, runtime_prepare_decoding_seconds: 0.028185532, num_column_commitments: 32, num_row_encodings: 8192, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 32, num_row_decodings: 8192, size_file_uncoded_bytes: 8388608, size_column_commitments_bytes: 3328, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 15.895872837, scenario_disperse_runtime_node_seconds: 0.469029655078125, scenario_disperse_communication_bytes: 33980416, scenario_disperse_storage_bytes: 33980416, scenario_retrieve_runtime_client_seconds: 15.600304067, scenario_sampling_num_openings: 32, scenario_sampling_runtime_prover_seconds: 0.458459822375, scenario_sampling_runtime_verifier_seconds: 0.014241023499999998, scenario_sampling_runtime_proof_size_bytes: 3480 }
128 32 8192 1 bls12-381  8323072  1.032233 0.022985  14.640251 0.457508 1.255622 0.000153 60.035796 0.469030  14.847936 0.463998 0.724183 0.000088 0.028186  32 8192 128 32 8192  8388608 3328 33554432  15.895873 0.469030 33980416 33980416  15.600304  32 0.458460 0.014241 3480
# Args { n: 256, k: 64, L: 4096, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 8323072, runtime_setup_seconds: 0.56194453, runtime_file_generation_seconds: 0.023134422, runtime_all_column_commitments_seconds: 18.150433064, runtime_per_column_commitment_seconds: 0.283600516625, runtime_all_row_encodings_seconds: 1.130425718, runtime_per_row_encoding_seconds: 0.00027598284130859373, runtime_all_chunk_verifications_seconds: 75.923637144, runtime_per_chunk_verification_seconds: 0.29657670759375, runtime_all_downloaded_chunk_verifications_seconds: 18.396105193, runtime_per_downloaded_chunk_verification_seconds: 0.287439143640625, runtime_all_row_decodings_seconds: 1.345517354, runtime_per_row_decoding_seconds: 0.00032849544775390626, runtime_prepare_decoding_seconds: 0.107780105, num_column_commitments: 64, num_row_encodings: 4096, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 64, num_row_decodings: 4096, size_file_uncoded_bytes: 8388608, size_column_commitments_bytes: 6656, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 19.280858782000003, scenario_disperse_runtime_node_seconds: 0.29657670759375, scenario_disperse_communication_bytes: 35258368, scenario_disperse_storage_bytes: 35258368, scenario_retrieve_runtime_client_seconds: 19.849402652000002, scenario_sampling_num_openings: 64, scenario_sampling_runtime_prover_seconds: 0.2737209214375, scenario_sampling_runtime_verifier_seconds: 0.01252104259375, scenario_sampling_runtime_proof_size_bytes: 6808 }
256 64 4096 1 bls12-381  8323072  0.561945 0.023134  18.150433 0.283601 1.130426 0.000276 75.923637 0.296577  18.396105 0.287439 1.345517 0.000328 0.107780  64 4096 256 64 4096  8388608 6656 33554432  19.280859 0.296577 35258368 35258368  19.849403  64 0.273721 0.012521 6808
# Args { n: 512, k: 128, L: 2048, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 8323072, runtime_setup_seconds: 0.331455249, runtime_file_generation_seconds: 0.028456134, runtime_all_column_commitments_seconds: 19.503183329, runtime_per_column_commitment_seconds: 0.1523686197578125, runtime_all_row_encodings_seconds: 0.990189868, runtime_per_row_encoding_seconds: 0.000483491146484375, runtime_all_chunk_verifications_seconds: 111.686120001, runtime_per_chunk_verification_seconds: 0.21813695312695314, runtime_all_downloaded_chunk_verifications_seconds: 21.113614837, runtime_per_downloaded_chunk_verification_seconds: 0.1649501159140625, runtime_all_row_decodings_seconds: 3.025827643, runtime_per_row_decoding_seconds: 0.0014774549038085937, runtime_prepare_decoding_seconds: 0.595881612, num_column_commitments: 128, num_row_encodings: 2048, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 128, num_row_decodings: 2048, size_file_uncoded_bytes: 8388608, size_column_commitments_bytes: 13312, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 20.493373197, scenario_disperse_runtime_node_seconds: 0.21813695312695314, scenario_disperse_communication_bytes: 40370176, scenario_disperse_storage_bytes: 40370176, scenario_retrieve_runtime_client_seconds: 24.735324092, scenario_sampling_num_openings: 128, scenario_sampling_runtime_prover_seconds: 0.1580867136875001, scenario_sampling_runtime_verifier_seconds: 0.010955485937499995, scenario_sampling_runtime_proof_size_bytes: 13464 }
512 128 2048 1 bls12-381  8323072  0.331455 0.028456  19.503183 0.152369 0.990190 0.000483 111.686120 0.218137  21.113615 0.164950 3.025828 0.001477 0.595882  128 2048 512 128 2048  8388608 13312 33554432  20.493373 0.218137 40370176 40370176  24.735324  128 0.158087 0.010955 13464
# Args { n: 1024, k: 256, L: 1024, iterations: 1, curve: Bls12_381 }
