args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Args { n: 32, k: 11, L: 65536, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 22888448, runtime_setup_seconds: 6.663881963, runtime_file_generation_seconds: 0.073485695, runtime_all_column_commitments_seconds: 33.47666763, runtime_per_column_commitment_seconds: 3.043333420909091, runtime_all_row_encodings_seconds: 3.77404123, runtime_per_row_encoding_seconds: 5.7587299041748046e-5, runtime_all_chunk_verifications_seconds: 93.528698987, runtime_per_chunk_verification_seconds: 2.92277184334375, runtime_all_downloaded_chunk_verifications_seconds: 30.990407131, runtime_per_downloaded_chunk_verification_seconds: 2.8173097391818183, runtime_all_row_decodings_seconds: 0.676256539, runtime_per_row_decoding_seconds: 1.0318855880737305e-5, runtime_prepare_decoding_seconds: 0.002286761, num_column_commitments: 11, num_row_encodings: 65536, num_chunk_verifications: 32, num_downloaded_chunk_verifications: 11, num_row_decodings: 65536, size_file_uncoded_bytes: 23068672, size_column_commitments_bytes: 1144, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 37.25070886, scenario_disperse_runtime_node_seconds: 2.92277184334375, scenario_disperse_communication_bytes: 67145472, scenario_disperse_storage_bytes: 67145472, scenario_retrieve_runtime_client_seconds: 31.668950431000003, scenario_sampling_num_openings: 11, scenario_sampling_runtime_prover_seconds: 2.833258853272727, scenario_sampling_runtime_verifier_seconds: 0.013965239, scenario_sampling_runtime_proof_size_bytes: 1296 }
# Args { n: 512, k: 171, L: 4096, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 22238208, runtime_setup_seconds: 0.560231499, runtime_file_generation_seconds: 0.064625684, runtime_all_column_commitments_seconds: 47.672768578, runtime_per_column_commitment_seconds: 0.2787881203391813, runtime_all_row_encodings_seconds: 2.168288549, runtime_per_row_encoding_seconds: 0.0005293673215332032, runtime_all_chunk_verifications_seconds: 179.095919576, runtime_per_chunk_verification_seconds: 0.349796717921875, runtime_all_downloaded_chunk_verifications_seconds: 59.773371153, runtime_per_downloaded_chunk_verification_seconds: 0.3495518780877193, runtime_all_row_decodings_seconds: 10.216477492, runtime_per_row_decoding_seconds: 0.0024942572001953123, runtime_prepare_decoding_seconds: 1.160920188, num_column_commitments: 171, num_row_encodings: 4096, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 171, num_row_decodings: 4096, size_file_uncoded_bytes: 22413312, size_column_commitments_bytes: 17784, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 49.841057127000006, scenario_disperse_runtime_node_seconds: 0.349796717921875, scenario_disperse_communication_bytes: 76214272, scenario_disperse_storage_bytes: 76214272, scenario_retrieve_runtime_client_seconds: 71.150768833, scenario_sampling_num_openings: 171, scenario_sampling_runtime_prover_seconds: 0.27441355537426915, scenario_sampling_runtime_verifier_seconds: 0.012766930327485384, scenario_sampling_runtime_proof_size_bytes: 17936 }
512 171 4096 1 bls12-381  22238208  0.560231 0.064626  47.672769 0.278788 2.168289 0.000529 179.095920 0.349797  59.773371 0.349552 10.216477 0.002494 1.160920  171 4096 512 171 4096  22413312 17784 67108864  49.841057 0.349797 76214272 76214272  71.150769  171 0.274414 0.012767 17936
# Args { n: 1024, k: 341, L: 2048, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 22173184, runtime_setup_seconds: 0.328596824, runtime_file_generation_seconds: 0.078381976, runtime_all_column_commitments_seconds: 54.189075286, runtime_per_column_commitment_seconds: 0.1589122442404692, runtime_all_row_encodings_seconds: 2.12343346, runtime_per_row_encoding_seconds: 0.001036832744140625, runtime_all_chunk_verifications_seconds: 325.582079118, runtime_per_chunk_verification_seconds: 0.3179512491386719, runtime_all_downloaded_chunk_verifications_seconds: 107.870214608, runtime_per_downloaded_chunk_verification_seconds: 0.3163349401994135, runtime_all_row_decodings_seconds: 21.937389333, runtime_per_row_decoding_seconds: 0.010711615885253906, runtime_prepare_decoding_seconds: 7.380782359, num_column_commitments: 341, num_row_encodings: 2048, num_chunk_verifications: 1024, num_downloaded_chunk_verifications: 341, num_row_decodings: 2048, size_file_uncoded_bytes: 22347776, size_column_commitments_bytes: 35464, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 56.312508746, scenario_disperse_runtime_node_seconds: 0.3179512491386719, scenario_disperse_communication_bytes: 103424000, scenario_disperse_storage_bytes: 103424000, scenario_retrieve_runtime_client_seconds: 137.1883863, scenario_sampling_num_openings: 341, scenario_sampling_runtime_prover_seconds: 0.15132460630205277, scenario_sampling_runtime_verifier_seconds: 0.009224350120234601, scenario_sampling_runtime_proof_size_bytes: 35616 }
1024 341 2048 1 bls12-381  22173184  0.328597 0.078382  54.189075 0.158912 2.123433 0.001037 325.582079 0.317951  107.870215 0.316335 21.937389 0.010712 7.380782  341 2048 1024 341 2048  22347776 35464 67108864  56.312509 0.317951 103424000 103424000  137.188386  341 0.151325 0.009224 35616
# Args { n: 32, k: 11, L: 65536, iterations: 1, curve: Bn254 }
# Measurements { num_measurements: 1, net_file_size_bytes: 22798336, runtime_setup_seconds: 3.530917874, runtime_file_generation_seconds: 0.079630824, runtime_all_column_commitments_seconds: 16.876742841, runtime_per_column_commitment_seconds: 1.534249349181818, runtime_all_row_encodings_seconds: 4.340089004, runtime_per_row_encoding_seconds: 6.622450262451172e-5, runtime_all_chunk_verifications_seconds: 51.004362015, runtime_per_chunk_verification_seconds: 1.59388631296875, runtime_all_downloaded_chunk_verifications_seconds: 17.247640791, runtime_per_downloaded_chunk_verification_seconds: 1.5679673446363636, runtime_all_row_decodings_seconds: 0.65831385, runtime_per_row_decoding_seconds: 1.0045072174072265e-5, runtime_prepare_decoding_seconds: 0.003684608, num_column_commitments: 11, num_row_encodings: 65536, num_chunk_verifications: 32, num_downloaded_chunk_verifications: 11, num_row_decodings: 65536, size_file_uncoded_bytes: 23068672, size_column_commitments_bytes: 792, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 21.216831844999998, scenario_disperse_runtime_node_seconds: 1.59388631296875, scenario_disperse_communication_bytes: 67134208, scenario_disperse_storage_bytes: 67134208, scenario_retrieve_runtime_client_seconds: 17.909639248999998, scenario_sampling_num_openings: 11, scenario_sampling_runtime_prover_seconds: 1.6413107781818184, scenario_sampling_runtime_verifier_seconds: 0.008805373454545455, scenario_sampling_runtime_proof_size_bytes: 912 }
32 11 65536 1 bn254  22798336  3.530918 0.079631  16.876743 1.534249 4.340089 0.000066 51.004362 1.593886  17.247641 1.567967 0.658314 0.000010 0.003685  11 65536 32 11 65536  23068672 792 67108864  21.216832 1.593886 67134208 67134208  17.909639  11 1.641311 0.008805 912
# Args { n: 64, k: 21, L: 32768, iterations: 1, curve: Bn254 }
