args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   
128 43 4096 1 bn254  5570048  0.298125 0.017899  5.989579 0.139293 0.649143 0.000158 19.365681 0.151294  6.638222 0.154377 0.616093 0.000150 0.044922  43 4096 128 43 4096  5636096 3096 16777216  6.638722 0.151294 17173504 17173504  7.299237  43 0.142256 0.007698 3216
256 85 2048 1 bn254  5505280  0.176832 0.020972  6.601588 0.077666 0.578973 0.000283 24.304343 0.094939  6.759460 0.079523 1.188688 0.000580 0.208700  85 2048 256 85 2048  5570560 6120 16777216  7.180560 0.094939 18343936 18343936  8.156848  85 0.079335 0.007270 6240
512 171 1024 1 bn254  5537664  0.105118 0.019152  7.109140 0.041574 0.562845 0.000550 44.701770 0.087308  7.598848 0.044438 2.654485 0.002592 1.240337  171 1024 512 171 1024  5603328 12312 16777216  7.671985 0.087308 23080960 23080960  11.493670  171 0.048734 0.008100 12432
1024 341 512 1 bn254  5521472  0.067687 0.021391  10.568759 0.030993 0.513899 0.001004 115.839163 0.113124  11.921961 0.034962 5.396380 0.010540 7.562540  341 512 1024 341 512  5586944 24552 16777216  11.082658 0.113124 41918464 41918464  24.880882  341 0.032484 0.007913 24672
128 43 8192 1 bn254  11140096  0.547906 0.036142  10.627078 0.247141 1.304753 0.000159 31.677399 0.247480  10.677614 0.248317 1.232549 0.000150 0.045544  43 8192 128 43 8192  11272192 3096 33554432  11.931831 0.247480 33950720 33950720  11.955706  43 0.248758 0.009327 3216
256 85 4096 1 bn254  11010560  0.354914 0.037092  11.810095 0.138942 1.057018 0.000258 41.625751 0.162601  11.830306 0.139180 2.371586 0.000579 0.206760  85 4096 256 85 4096  11141120 6120 33554432  12.867113 0.162601 35121152 35121152  14.408653  85 0.144083 0.007802 6240
512 171 2048 1 bn254  11075328  0.177155 0.037682  13.250124 0.077486 1.112202 0.000543 60.682862 0.118521  13.516476 0.079044 5.268794 0.002573 1.184359  171 2048 512 171 2048  11206656 12312 33554432  14.362326 0.118521 39858176 39858176  19.969630  171 0.079174 0.007291 12432
1024 341 1024 1 bn254  11042944  0.109850 0.041972  14.187125 0.041604 1.080645 0.001055 129.368834 0.126337  15.342554 0.044993 11.287602 0.011023 7.529559  341 1024 1024 341 1024  11173888 24552 33554432  15.267769 0.126337 58695680 58695680  34.159714  341 0.046194 0.007830 24672
128 43 16384 1 bn254  22280192  0.999185 0.071574  18.321266 0.426076 2.642772 0.000161 56.397799 0.440608  18.356946 0.426906 2.603784 0.000159 0.046967  43 16384 128 43 16384  22544384 3096 67108864  20.964038 0.440608 67505152 67505152  21.007697  43 0.437787 0.008171 3216
256 85 8192 1 bn254  22021120  0.555501 0.075317  20.841452 0.245194 2.164773 0.000264 64.671128 0.252622  20.739805 0.243998 4.742919 0.000579 0.210564  85 8192 256 85 8192  22282240 6120 67108864  23.006226 0.252622 68675584 68675584  25.693288  85 0.241548 0.010844 6240
512 171 4096 1 bn254  22150656  0.301068 0.076009  24.997322 0.146183 2.233927 0.000545 90.727755 0.177203  25.899016 0.151456 10.536508 0.002572 1.188079  171 4096 512 171 4096  22413312 12312 67108864  27.231248 0.177203 73412608 73412608  37.623603  171 0.142508 0.007384 12432
1024 341 2048 1 bn254  22085888  0.178199 0.086074  27.225172 0.079839 2.029605 0.000991 167.343621 0.163422  28.312732 0.083029 22.634533 0.011052 7.541185  341 2048 1024 341 2048  22347776 24552 67108864  29.254777 0.163422 92250112 92250112  58.488450  341 0.082319 0.008018 24672
128 43 32768 1 bn254  44560384  1.786806 0.150939  34.000164 0.790701 5.326983 0.000163 102.867112 0.803649  33.958361 0.789729 5.054951 0.000154 0.050348  43 32768 128 43 32768  45088768 3096 134217728  39.327147 0.803649 134614016 134614016  39.063660  43 0.802240 0.008169 3216
256 85 16384 1 bn254  44042240  0.987693 0.147845  36.348547 0.427630 4.264303 0.000260 115.024792 0.449316  36.284322 0.426874 9.620373 0.000587 0.218225  85 16384 256 85 16384  44564480 6120 134217728  40.612850 0.449316 135784448 135784448  46.122920  85 0.435366 0.008817 6240
512 171 8192 1 bn254  44301312  0.552441 0.146932  42.656784 0.249455 4.441543 0.000542 142.549457 0.278417  43.412292 0.253873 21.084138 0.002574 1.184470  171 8192 512 171 8192  44826624 12312 134217728  47.098327 0.278417 140521472 140521472  65.680901  171 0.244651 0.008908 12432
1024 341 4096 1 bn254  44171776  0.298250 0.173395  51.328087 0.150522 4.279124 0.001045 224.481462 0.219220  52.543579 0.154087 43.463106 0.010611 7.535784  341 4096 1024 341 4096  44695552 24552 134217728  55.607212 0.219220 159358976 159358976  103.542468  341 0.142495 0.007605 24672
