args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
512 171 512 1 bn254  2768832  0.064967 0.009812  5.314067 0.031076 0.247869 0.000484 35.885775 0.070089  11.947008 0.069866 1.316059 0.002570 1.186069  171 512 512 171 512  2801664 12312 8388608  5.561937 0.070089 14692352 14692352  14.449136  171 0.032402 0.008107 12432
1024 341 512 1 bn254  5521472  0.065477 0.020860  10.594179 0.031068 0.507975 0.000992 115.526280 0.112819  38.428977 0.112695 5.363429 0.010475 7.571229  341 512 1024 341 512  5586944 24552 16777216  11.102154 0.112819 41918464 41918464  51.363635  341 0.032427 0.007962 24672
128 43 1024 1 bn254  1392512  0.109936 0.006535  1.813663 0.042178 0.164787 0.000161 7.259605 0.056716  2.403949 0.055906 0.154095 0.000150 0.040890  43 1024 128 43 1024  1409024 3096 4194304  1.978450 0.056716 4590592 4590592  2.598933  43 0.046422 0.007638 3216
256 85 1024 1 bn254  2752640  0.107780 0.009585  3.668781 0.043162 0.281486 0.000275 15.945552 0.062287  5.262692 0.061914 0.593055 0.000579 0.203173  85 1024 256 85 1024  2785280 6120 8388608  3.950267 0.062287 9955328 9955328  6.058920  85 0.046557 0.007885 6240
512 171 1024 1 bn254  5537664  0.109817 0.018472  8.332567 0.048728 0.506525 0.000495 44.462636 0.086841  14.601392 0.085388 2.656905 0.002595 1.182983  171 1024 512 171 1024  5603328 12312 16777216  8.839092 0.086841 23080960 23080960  18.441280  171 0.047916 0.008051 12432
1024 341 1024 1 bn254  11042944  0.105532 0.041050  15.564072 0.045642 1.019900 0.000996 131.748473 0.128661  43.731542 0.128245 11.351453 0.011085 7.563189  341 1024 1024 341 1024  11173888 24552 33554432  16.583972 0.128661 58695680 58695680  62.646184  341 0.047925 0.008029 24672
128 43 2048 1 bn254  2785024  0.177287 0.012108  3.275082 0.076165 0.335637 0.000164 11.402731 0.089084  3.825311 0.088961 0.308717 0.000151 0.040847  43 2048 128 43 2048  2818048 3096 8388608  3.610719 0.089084 8784896 8784896  4.174876  43 0.079507 0.006961 3216
256 85 2048 1 bn254  5505280  0.173500 0.019996  6.569464 0.077288 0.561505 0.000274 24.365052 0.095176  8.094361 0.095228 1.188353 0.000580 0.202569  85 2048 256 85 2048  5570560 6120 16777216  7.130969 0.095176 18343936 18343936  9.485284  85 0.079342 0.007139 6240
512 171 2048 1 bn254  11075328  0.176643 0.037796  13.389308 0.078300 1.125505 0.000550 59.812373 0.116821  19.983043 0.116860 5.260596 0.002569 1.180427  171 2048 512 171 2048  11206656 12312 33554432  14.514813 0.116821 39858176 39858176  26.424066  171 0.079284 0.007052 12432
1024 341 2048 1 bn254  22085888  0.183331 0.086655  26.601986 0.078012 2.048922 0.001000 166.774646 0.162866  55.263127 0.162062 22.730144 0.011099 7.545273  341 2048 1024 341 2048  22347776 24552 67108864  28.650908 0.162866 92250112 92250112  85.538544  341 0.081243 0.008112 24672
128 43 4096 1 bn254  5570048  0.299484 0.021679  6.085327 0.141519 0.645936 0.000158 19.597432 0.153105  6.540018 0.152093 0.617190 0.000151 0.040531  43 4096 128 43 4096  5636096 3096 16777216  6.731263 0.153105 17173504 17173504  7.197739  43 0.142953 0.007416 3216
256 85 4096 1 bn254  11010560  0.299536 0.036999  11.619489 0.136700 1.060228 0.000259 41.596279 0.162485  13.754949 0.161823 2.374871 0.000580 0.202059  85 4096 256 85 4096  11141120 6120 33554432  12.679717 0.162485 35121152 35121152  16.331880  85 0.144140 0.007788 6240
512 171 4096 1 bn254  22150656  0.298029 0.074855  25.057868 0.146537 2.234359 0.000545 90.926529 0.177591  30.300880 0.177198 10.620404 0.002593 1.186198  171 4096 512 171 4096  22413312 12312 67108864  27.292227 0.177591 73412608 73412608  42.107482  171 0.143161 0.007382 12432
1024 341 4096 1 bn254  44171776  0.297570 0.170305  51.261798 0.150328 4.178512 0.001020 225.701186 0.220411  75.269333 0.220731 43.411967 0.010599 7.557731  341 4096 1024 341 4096  44695552 24552 134217728  55.440310 0.220411 159358976 159358976  126.239031  341 0.144692 0.007871 24672
